2	0.001
3	0
4	0
5	0.002
6	0.003
7	0.005
8	0.012
9	0.023
10	0.045
11	0.089
12	0.179
13	0.36
14	0.731
15	1.423
16	2.356
17	1.384
18	2.526
19	5.565
20	11.062
21	21.827
22	42
23	86.39
24	176.448
25	348.844
26	696.419
27	1391.79
28	2793.56
29	5578.29
30	11164.9
31	22330.9
32	44682.9
